"datetime","date","ph-i-subdaily","epoch"
"2019-01-04 11:01:25","2019-01-04",3.47,1546599685000
"2019-01-04 11:16:52","2019-01-04",3.49,1546600612000
"2019-01-04 11:31:51","2019-01-04",3.48,1546601511000
"2019-01-04 11:46:52","2019-01-04",3.49,1546602412000
"2019-01-04 12:01:52","2019-01-04",3.48,1546603312000
"2019-01-04 12:16:51","2019-01-04",3.47,1546604211000
"2019-01-04 12:31:51","2019-01-04",3.13,1546605111000
"2019-01-04 12:46:51","2019-01-04",3.14,1546606011000
"2019-01-04 13:01:51","2019-01-04",3.08,1546606911000
"2019-01-04 13:16:51","2019-01-04",3.22,1546607811000
"2019-01-04 13:31:51","2019-01-04",3.17,1546608711000
"2019-01-04 13:46:51","2019-01-04",3.17,1546609611000
"2019-01-04 14:01:51","2019-01-04",3.44,1546610511000
"2019-01-04 14:16:51","2019-01-04",3.26,1546611411000
"2019-01-04 14:31:51","2019-01-04",3.3,1546612311000
"2019-01-04 14:46:51","2019-01-04",3.31,1546613211000
"2019-01-04 15:01:51","2019-01-04",3.36,1546614111000
"2019-01-04 15:16:51","2019-01-04",3.48,1546615011000
"2019-01-04 15:31:52","2019-01-04",3.09,1546615912000
"2019-01-04 15:46:51","2019-01-04",3.05,1546616811000
"2019-01-04 16:01:51","2019-01-04",3.07,1546617711000
"2019-01-04 16:16:52","2019-01-04",3.07,1546618612000
"2019-01-04 16:31:52","2019-01-04",3.06,1546619512000
"2019-01-04 16:46:51","2019-01-04",3.09,1546620411000
"2019-01-04 17:01:22","2019-01-04",3.12,1546621282000
"2019-01-04 17:16:51","2019-01-04",3.13,1546622211000
"2019-01-04 17:31:51","2019-01-04",3.18,1546623111000
"2019-01-04 17:46:51","2019-01-04",3.41,1546624011000
"2019-01-04 18:01:51","2019-01-04",3.06,1546624911000
"2019-01-04 18:16:51","2019-01-04",3.0,1546625811000
"2019-01-04 18:31:51","2019-01-04",2.98,1546626711000
"2019-01-04 18:46:51","2019-01-04",3.04,1546627611000
"2019-01-04 19:01:51","2019-01-04",3.05,1546628511000
"2019-01-04 19:16:51","2019-01-04",3.05,1546629411000
"2019-01-04 19:31:51","2019-01-04",3.4,1546630311000
"2019-01-04 19:46:51","2019-01-04",3.4,1546631211000
"2019-01-04 20:01:52","2019-01-04",3.41,1546632112000
"2019-01-04 20:16:52","2019-01-04",3.44,1546633012000
"2019-01-04 20:31:52","2019-01-04",3.43,1546633912000
"2019-01-04 20:46:52","2019-01-04",3.42,1546634812000
"2019-01-04 21:01:52","2019-01-04",3.36,1546635712000
"2019-01-04 21:16:52","2019-01-04",3.39,1546636612000
"2019-01-04 21:31:52","2019-01-04",3.39,1546637512000
"2019-01-04 21:46:52","2019-01-04",3.38,1546638412000
"2019-01-04 22:01:52","2019-01-04",3.39,1546639312000
"2019-01-04 22:16:52","2019-01-04",3.38,1546640212000
"2019-01-04 22:31:52","2019-01-04",3.38,1546641112000
"2019-01-04 22:46:52","2019-01-04",3.35,1546642012000
"2019-01-04 23:01:52","2019-01-04",3.36,1546642912000
"2019-01-04 23:16:52","2019-01-04",3.35,1546643812000
"2019-01-04 23:31:52","2019-01-04",3.34,1546644712000
"2019-01-04 23:46:52","2019-01-04",3.27,1546645612000
"2019-01-05 00:01:52","2019-01-05",3.19,1546646512000
"2019-01-05 00:16:52","2019-01-05",3.05,1546647412000
"2019-01-05 00:31:52","2019-01-05",3.02,1546648312000
"2019-01-05 00:46:52","2019-01-05",3.03,1546649212000
"2019-01-05 01:01:52","2019-01-05",3.06,1546650112000
"2019-01-05 01:16:52","2019-01-05",3.16,1546651012000
"2019-01-05 01:31:52","2019-01-05",3.03,1546651912000
"2019-01-05 01:46:52","2019-01-05",3.04,1546652812000
"2019-01-05 02:01:52","2019-01-05",3.04,1546653712000
"2019-01-05 02:16:52","2019-01-05",3.01,1546654612000
"2019-01-05 02:31:52","2019-01-05",3.07,1546655512000
"2019-01-05 02:46:52","2019-01-05",3.07,1546656412000
"2019-01-05 03:01:52","2019-01-05",2.99,1546657312000
"2019-01-05 03:16:51","2019-01-05",3.0,1546658211000
"2019-01-05 03:31:52","2019-01-05",2.99,1546659112000
"2019-01-05 03:46:51","2019-01-05",2.92,1546660011000
"2019-01-05 04:01:52","2019-01-05",2.95,1546660912000
"2019-01-05 04:16:52","2019-01-05",2.95,1546661812000
"2019-01-05 04:31:51","2019-01-05",2.94,1546662711000
"2019-01-05 04:46:51","2019-01-05",2.95,1546663611000
"2019-01-05 05:01:51","2019-01-05",2.95,1546664511000
"2019-01-05 05:16:51","2019-01-05",2.94,1546665411000
"2019-01-05 05:31:51","2019-01-05",2.94,1546666311000
"2019-01-05 05:46:51","2019-01-05",2.96,1546667211000
"2019-01-05 06:01:52","2019-01-05",2.99,1546668112000
"2019-01-05 06:16:52","2019-01-05",2.98,1546669012000
"2019-01-05 06:31:52","2019-01-05",2.95,1546669912000
"2019-01-05 06:46:52","2019-01-05",2.96,1546670812000
"2019-01-05 07:01:52","2019-01-05",2.92,1546671712000
"2019-01-05 07:16:52","2019-01-05",2.93,1546672612000
"2019-01-05 07:31:52","2019-01-05",2.97,1546673512000
"2019-01-05 07:46:52","2019-01-05",3.01,1546674412000
"2019-01-05 08:01:52","2019-01-05",3.03,1546675312000
"2019-01-05 08:16:52","2019-01-05",3.02,1546676212000
"2019-01-05 08:31:52","2019-01-05",3.03,1546677112000
"2019-01-05 08:46:52","2019-01-05",3.08,1546678012000
"2019-01-05 09:01:22","2019-01-05",3.42,1546678882000
"2019-01-05 09:16:52","2019-01-05",3.42,1546679812000
"2019-01-05 09:31:52","2019-01-05",3.41,1546680712000
"2019-01-05 09:46:51","2019-01-05",3.4,1546681611000
"2019-01-05 10:01:52","2019-01-05",3.38,1546682512000
"2019-01-05 10:16:52","2019-01-05",3.4,1546683412000
"2019-01-05 10:31:51","2019-01-05",3.39,1546684311000
"2019-01-05 10:46:51","2019-01-05",3.39,1546685211000
"2019-01-05 11:01:52","2019-01-05",3.39,1546686112000
"2019-01-05 11:16:52","2019-01-05",3.38,1546687012000
"2019-01-05 11:31:52","2019-01-05",3.36,1546687912000
"2019-01-05 11:46:51","2019-01-05",3.36,1546688811000
"2019-01-05 12:01:52","2019-01-05",3.36,1546689712000
"2019-01-05 12:16:52","2019-01-05",3.37,1546690612000
"2019-01-05 12:31:51","2019-01-05",3.37,1546691511000
"2019-01-05 12:46:51","2019-01-05",3.38,1546692411000
"2019-01-05 13:01:51","2019-01-05",3.39,1546693311000
"2019-01-05 13:16:51","2019-01-05",3.39,1546694211000
"2019-01-05 13:31:51","2019-01-05",3.36,1546695111000
"2019-01-05 13:46:52","2019-01-05",3.24,1546696012000
"2019-01-05 14:01:52","2019-01-05",3.26,1546696912000
"2019-01-05 14:16:52","2019-01-05",3.22,1546697812000
"2019-01-05 14:31:51","2019-01-05",3.37,1546698711000
"2019-01-05 14:46:51","2019-01-05",3.22,1546699611000
"2019-01-05 15:01:20","2019-01-05",3.22,1546700480000
"2019-01-05 15:16:51","2019-01-05",3.24,1546701411000
"2019-01-05 15:31:51","2019-01-05",3.06,1546702311000
"2019-01-05 15:46:51","2019-01-05",3.3,1546703211000
"2019-01-05 16:01:51","2019-01-05",3.37,1546704111000
"2019-01-05 16:16:51","2019-01-05",3.25,1546705011000
"2019-01-05 16:31:50","2019-01-05",2.91,1546705910000
"2019-01-05 16:46:50","2019-01-05",2.86,1546706810000
"2019-01-05 17:01:51","2019-01-05",2.86,1546707711000
"2019-01-05 17:16:51","2019-01-05",2.85,1546708611000
"2019-01-05 17:31:51","2019-01-05",2.87,1546709511000
"2019-01-05 17:46:51","2019-01-05",2.89,1546710411000
"2019-01-05 18:01:51","2019-01-05",2.88,1546711311000
"2019-01-05 18:16:52","2019-01-05",2.9,1546712212000
"2019-01-05 18:31:52","2019-01-05",2.92,1546713112000
"2019-01-05 18:46:52","2019-01-05",2.91,1546714012000
"2019-01-05 19:01:52","2019-01-05",2.94,1546714912000
"2019-01-05 19:16:52","2019-01-05",2.9,1546715812000
"2019-01-05 19:31:52","2019-01-05",2.94,1546716712000
"2019-01-05 19:46:52","2019-01-05",3.01,1546717612000
"2019-01-05 20:01:52","2019-01-05",3.36,1546718512000
"2019-01-05 20:16:51","2019-01-05",3.38,1546719411000
"2019-01-05 20:31:51","2019-01-05",3.38,1546720311000
"2019-01-05 20:46:51","2019-01-05",3.39,1546721211000
"2019-01-05 21:01:19","2019-01-05",3.4,1546722079000
"2019-01-05 21:16:52","2019-01-05",3.4,1546723012000
"2019-01-05 21:31:52","2019-01-05",3.41,1546723912000
"2019-01-05 21:46:51","2019-01-05",3.4,1546724811000
"2019-01-05 22:01:51","2019-01-05",3.39,1546725711000
"2019-01-05 22:16:51","2019-01-05",3.39,1546726611000
"2019-01-05 22:31:52","2019-01-05",3.39,1546727512000
"2019-01-05 22:46:52","2019-01-05",3.39,1546728412000
"2019-01-05 23:01:51","2019-01-05",3.39,1546729311000
