"datetime","date","ph-i-subdaily","epoch"
"2022-01-04 04:32:11","2022-01-04",7.83,1641270731000
"2022-01-04 04:47:12","2022-01-04",7.88,1641271632000
"2022-01-04 05:02:11","2022-01-04",7.98,1641272531000
"2022-01-04 05:17:11","2022-01-04",8.02,1641273431000
"2022-01-04 05:32:11","2022-01-04",8.03,1641274331000
"2022-01-04 05:47:11","2022-01-04",8.04,1641275231000
"2022-01-04 06:02:11","2022-01-04",8.02,1641276131000
"2022-01-04 06:17:11","2022-01-04",8.03,1641277031000
"2022-01-04 06:32:11","2022-01-04",8.03,1641277931000
"2022-01-04 06:47:12","2022-01-04",8.03,1641278832000
"2022-01-04 07:02:12","2022-01-04",8.03,1641279732000
"2022-01-04 07:17:12","2022-01-04",8.03,1641280632000
"2022-01-04 07:32:12","2022-01-04",8.02,1641281532000
"2022-01-04 07:47:12","2022-01-04",8.0,1641282432000
"2022-01-04 08:02:15","2022-01-04",7.99,1641283335000
"2022-01-04 08:17:11","2022-01-04",7.99,1641284231000
"2022-01-04 08:32:11","2022-01-04",7.99,1641285131000
"2022-01-04 08:47:11","2022-01-04",8.0,1641286031000
"2022-01-04 09:02:11","2022-01-04",8.02,1641286931000
"2022-01-04 09:17:11","2022-01-04",8.0,1641287831000
"2022-01-04 09:32:11","2022-01-04",8.02,1641288731000
"2022-01-04 09:47:11","2022-01-04",8.0,1641289631000
"2022-01-04 10:02:11","2022-01-04",8.0,1641290531000
"2022-01-04 10:17:11","2022-01-04",8.01,1641291431000
"2022-01-04 10:32:11","2022-01-04",7.99,1641292331000
"2022-01-04 10:47:11","2022-01-04",7.99,1641293231000
"2022-01-04 11:02:11","2022-01-04",7.99,1641294131000
"2022-01-04 11:17:14","2022-01-04",7.97,1641295034000
"2022-01-04 11:32:11","2022-01-04",7.96,1641295931000
"2022-01-04 11:47:11","2022-01-04",7.94,1641296831000
"2022-01-04 12:02:11","2022-01-04",7.93,1641297731000
"2022-01-04 12:17:12","2022-01-04",7.93,1641298632000
"2022-01-04 12:32:11","2022-01-04",7.93,1641299531000
"2022-01-04 12:47:11","2022-01-04",7.93,1641300431000
"2022-01-04 13:02:11","2022-01-04",7.97,1641301331000
"2022-01-04 13:17:11","2022-01-04",7.96,1641302231000
"2022-01-04 13:32:11","2022-01-04",7.93,1641303131000
"2022-01-04 13:47:11","2022-01-04",7.91,1641304031000
"2022-01-04 14:02:11","2022-01-04",7.86,1641304931000
"2022-01-04 14:17:11","2022-01-04",7.75,1641305831000
"2022-01-04 14:32:12","2022-01-04",7.89,1641306732000
"2022-01-04 14:47:11","2022-01-04",7.9,1641307631000
"2022-01-04 15:02:11","2022-01-04",7.88,1641308531000
"2022-01-04 15:17:14","2022-01-04",7.88,1641309434000
"2022-01-04 15:32:12","2022-01-04",7.9,1641310332000
"2022-01-04 15:47:12","2022-01-04",7.89,1641311232000
"2022-01-04 16:02:11","2022-01-04",7.93,1641312131000
"2022-01-04 16:17:11","2022-01-04",7.92,1641313031000
"2022-01-04 16:32:12","2022-01-04",7.93,1641313932000
"2022-01-04 16:47:11","2022-01-04",7.91,1641314831000
"2022-01-04 17:02:11","2022-01-04",7.94,1641315731000
"2022-01-04 17:17:11","2022-01-04",7.89,1641316631000
"2022-01-04 17:32:11","2022-01-04",7.62,1641317531000
"2022-01-04 17:47:11","2022-01-04",7.88,1641318431000
"2022-01-04 18:02:11","2022-01-04",7.91,1641319331000
"2022-01-04 18:17:11","2022-01-04",7.95,1641320231000
"2022-01-04 18:32:11","2022-01-04",7.96,1641321131000
"2022-01-04 18:47:12","2022-01-04",7.95,1641322032000
"2022-01-04 19:02:11","2022-01-04",7.97,1641322931000
"2022-01-04 19:17:11","2022-01-04",7.95,1641323831000
"2022-01-04 19:32:11","2022-01-04",7.9,1641324731000
"2022-01-04 19:47:11","2022-01-04",7.86,1641325631000
"2022-01-04 20:02:11","2022-01-04",7.87,1641326531000
"2022-01-04 20:17:11","2022-01-04",7.89,1641327431000
"2022-01-04 20:32:11","2022-01-04",7.88,1641328331000
"2022-01-04 20:47:11","2022-01-04",7.88,1641329231000
"2022-01-04 21:02:11","2022-01-04",7.9,1641330131000
"2022-01-04 21:17:12","2022-01-04",7.89,1641331032000
"2022-01-04 21:32:11","2022-01-04",7.9,1641331931000
"2022-01-04 21:47:11","2022-01-04",7.89,1641332831000
"2022-01-04 22:02:11","2022-01-04",7.9,1641333731000
"2022-01-04 22:17:12","2022-01-04",7.88,1641334632000
"2022-01-04 22:32:11","2022-01-04",7.88,1641335531000
"2022-01-04 22:47:12","2022-01-04",7.88,1641336432000
"2022-01-04 23:02:11","2022-01-04",7.88,1641337331000
"2022-01-04 23:17:12","2022-01-04",7.88,1641338232000
"2022-01-04 23:32:11","2022-01-04",7.89,1641339131000
"2022-01-04 23:47:12","2022-01-04",7.89,1641340032000
"2022-01-05 00:02:11","2022-01-05",7.9,1641340931000
"2022-01-05 00:17:11","2022-01-05",7.89,1641341831000
"2022-01-05 00:32:11","2022-01-05",7.91,1641342731000
"2022-01-05 00:47:11","2022-01-05",7.92,1641343631000
"2022-01-05 01:02:12","2022-01-05",7.93,1641344532000
"2022-01-05 01:17:11","2022-01-05",7.93,1641345431000
"2022-01-05 01:32:11","2022-01-05",7.93,1641346331000
"2022-01-05 01:47:11","2022-01-05",7.98,1641347231000
"2022-01-05 02:02:11","2022-01-05",7.97,1641348131000
"2022-01-05 02:17:13","2022-01-05",7.95,1641349033000
"2022-01-05 02:32:11","2022-01-05",7.94,1641349931000
"2022-01-05 02:47:11","2022-01-05",7.95,1641350831000
"2022-01-05 03:02:11","2022-01-05",7.96,1641351731000
"2022-01-05 03:17:11","2022-01-05",7.95,1641352631000
"2022-01-05 03:32:12","2022-01-05",7.94,1641353532000
"2022-01-05 03:47:12","2022-01-05",7.95,1641354432000
"2022-01-05 04:02:12","2022-01-05",7.94,1641355332000
"2022-01-05 04:17:12","2022-01-05",7.96,1641356232000
"2022-01-05 04:32:11","2022-01-05",7.95,1641357131000
"2022-01-05 04:47:11","2022-01-05",7.98,1641358031000
"2022-01-05 05:02:11","2022-01-05",7.72,1641358931000
"2022-01-05 05:17:12","2022-01-05",7.83,1641359832000
"2022-01-05 05:32:11","2022-01-05",7.98,1641360731000
"2022-01-05 05:47:11","2022-01-05",8.03,1641361631000
"2022-01-05 06:02:11","2022-01-05",8.03,1641362531000
"2022-01-05 06:17:11","2022-01-05",8.05,1641363431000
"2022-01-05 06:32:11","2022-01-05",8.05,1641364331000
"2022-01-05 06:47:11","2022-01-05",8.06,1641365231000
"2022-01-05 07:02:11","2022-01-05",8.05,1641366131000
"2022-01-05 07:17:11","2022-01-05",8.04,1641367031000
"2022-01-05 07:32:11","2022-01-05",8.05,1641367931000
"2022-01-05 07:47:11","2022-01-05",8.05,1641368831000
"2022-01-05 08:02:11","2022-01-05",8.05,1641369731000
"2022-01-05 08:17:11","2022-01-05",8.04,1641370631000
"2022-01-05 08:32:11","2022-01-05",8.0,1641371531000
"2022-01-05 08:47:11","2022-01-05",8.0,1641372431000
"2022-01-05 09:02:11","2022-01-05",8.01,1641373331000
"2022-01-05 09:17:11","2022-01-05",8.01,1641374231000
